product_id,stock_out_timestamps,stock_out_duration_hours,stock_out_days,total_stock_out_hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[(Timestamp('2022-01-01 09:30:44+0000', tz='UTC'), Timestamp('2022-01-07 21:04:18+0000', tz='UTC')), (Timestamp('2022-01-10 17:07:34+0000', tz='UTC'), Timestamp('2022-01-15 11:23:45+0000', tz='UTC')), (Timestamp('2022-02-22 16:43:20+0000', tz='UTC'), Timestamp('2022-02-24 16:51:27+0000', tz='UTC')), (Timestamp('2022-03-17 10:00:27+0000', tz='UTC'), Timestamp('2022-03-21 23:59:58+0000', tz='UTC')), (Timestamp('2022-04-19 20:39:10+0000', tz='UTC'), Timestamp('2022-04-21 16:02:52+0000', tz='UTC')), (Timestamp('2022-06-21 12:05:19+0000', tz='UTC'), Timestamp('2022-06-23 16:43:44+0000', tz='UTC')), (Timestamp('2022-06-27 06:40:46+0000', tz='UTC'), Timestamp('2022-07-04 23:59:58+0000', tz='UTC')), (Timestamp('2022-08-16 09:41:55+0000', tz='UTC'), Timestamp('2022-08-18 23:59:58+0000', tz='UTC')), (Timestamp('2022-09-05 18:54:31+0000', tz='UTC'), Timestamp('2022-09-06 16:16:34+0000', tz='UTC')), (Timestamp('2022-09-06 16:16:34+0000', tz='UTC'), Timestamp('2022-09-08 23:59:58+0000', tz='UTC')), (Timestamp('2022-10-02 13:48:16+0000', tz='UTC'), Timestamp('2022-10-04 23:59:58+0000', tz='UTC')), (Timestamp('2022-11-03 23:59:58+0000', tz='UTC'), Timestamp('2022-11-07 20:20:06+0000', tz='UTC')), (Timestamp('2022-11-30 20:49:07+0000', tz='UTC'), Timestamp('2022-12-01 13:27:18+0000', tz='UTC')), (Timestamp('2022-12-06 09:18:29+0000', tz='UTC'), Timestamp('2022-12-12 15:31:59+0000', tz='UTC')), (Timestamp('2023-01-04 23:59:58+0000', tz='UTC'), Timestamp('2023-01-05 16:42:16+0000', tz='UTC'))]","[155.55944444444444, 114.26972222222223, 48.13527777777778, 109.99194444444444, 43.395, 52.640277777777776, 185.32, 62.30083333333334, 21.3675, 55.723333333333336, 58.195, 92.33555555555556, 16.636388888888888, 150.225, 16.705]","[6, 4, 2, 4, 1, 2, 7, 2, 0, 2, 2, 3, 0, 6, 0]",1182.800278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[(Timestamp('2022-07-18 17:29:21+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]",[6150.510277777777],[256],6150.510278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[],[],[],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[(Timestamp('2022-01-01 17:57:57+0000', tz='UTC'), Timestamp('2022-01-04 17:59:11+0000', tz='UTC')), (Timestamp('2022-01-06 17:22:02+0000', tz='UTC'), Timestamp('2022-01-08 10:31:07+0000', tz='UTC')), (Timestamp('2022-02-11 08:08:07+0000', tz='UTC'), Timestamp('2022-02-12 08:46:07+0000', tz='UTC')), (Timestamp('2022-03-21 09:17:06+0000', tz='UTC'), Timestamp('2022-03-22 20:18:28+0000', tz='UTC')), (Timestamp('2022-05-08 18:11:02+0000', tz='UTC'), Timestamp('2022-05-12 15:40:17+0000', tz='UTC')), (Timestamp('2022-06-19 23:59:58+0000', tz='UTC'), Timestamp('2022-06-23 09:01:20+0000', tz='UTC')), (Timestamp('2022-06-28 12:52:09+0000', tz='UTC'), Timestamp('2022-06-30 19:40:20+0000', tz='UTC'))]","[72.02055555555556, 41.15138888888889, 24.633333333333333, 35.022777777777776, 93.4875, 81.02277777777778, 54.80305555555555]","[3, 1, 1, 1, 3, 3, 2]",402.1413889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-05-23 23:59:58+0000', tz='UTC'))]",[3431.9991666666665],[142],3431.999167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-07-20 23:59:58+0000', tz='UTC')), (Timestamp('2022-07-27 16:12:53+0000', tz='UTC'), Timestamp('2022-07-29 23:59:58+0000', tz='UTC')), (Timestamp('2022-08-03 14:18:29+0000', tz='UTC'), Timestamp('2022-08-05 23:59:58+0000', tz='UTC')), (Timestamp('2022-08-13 23:59:58+0000', tz='UTC'), Timestamp('2022-08-23 23:59:58+0000', tz='UTC')), (Timestamp('2022-09-04 23:59:58+0000', tz='UTC'), Timestamp('2022-09-06 23:59:58+0000', tz='UTC')), (Timestamp('2022-09-11 11:45:49+0000', tz='UTC'), Timestamp('2022-09-15 19:23:14+0000', tz='UTC')), (Timestamp('2022-09-19 09:32:46+0000', tz='UTC'), Timestamp('2022-09-20 23:59:58+0000', tz='UTC')), (Timestamp('2022-09-21 19:47:17+0000', tz='UTC'), Timestamp('2022-09-23 23:59:58+0000', tz='UTC')), (Timestamp('2022-10-07 23:59:58+0000', tz='UTC'), Timestamp('2022-10-11 23:59:58+0000', tz='UTC')), (Timestamp('2022-10-19 23:59:58+0000', tz='UTC'), Timestamp('2022-10-21 23:59:58+0000', tz='UTC')), (Timestamp('2022-11-23 23:59:58+0000', tz='UTC'), Timestamp('2022-11-25 23:59:58+0000', tz='UTC')), (Timestamp('2022-12-07 23:59:58+0000', tz='UTC'), Timestamp('2022-12-09 23:59:58+0000', tz='UTC')), (Timestamp('2022-12-19 23:59:58+0000', tz='UTC'), Timestamp('2022-12-20 23:59:58+0000', tz='UTC')), (Timestamp('2022-12-26 23:59:58+0000', tz='UTC'), Timestamp('2022-12-28 23:59:58+0000', tz='UTC')), (Timestamp('2023-01-17 23:59:58+0000', tz='UTC'), Timestamp('2023-01-19 23:59:58+0000', tz='UTC')), (Timestamp('2023-01-25 23:59:58+0000', tz='UTC'), Timestamp('2023-01-31 18:35:18+0000', tz='UTC')), (Timestamp('2023-02-20 23:59:58+0000', tz='UTC'), Timestamp('2023-02-21 23:59:58+0000', tz='UTC')), (Timestamp('2023-03-01 18:33:03+0000', tz='UTC'), Timestamp('2023-03-03 23:59:58+0000', tz='UTC')), (Timestamp('2023-03-13 23:59:58+0000', tz='UTC'), Timestamp('2023-03-15 23:59:58+0000', tz='UTC')), (Timestamp('2023-03-24 23:59:58+0000', tz='UTC'), Timestamp('2023-03-28 23:59:58+0000', tz='UTC'))]","[4823.9991666666665, 55.78472222222222, 57.69138888888889, 240.0, 48.0, 103.62361111111112, 38.45333333333333, 52.21138888888889, 96.0, 48.0, 48.0, 48.0, 24.0, 48.0, 48.0, 138.5888888888889, 24.0, 53.44861111111111, 48.0, 96.0]","[200, 2, 2, 10, 2, 4, 1, 2, 4, 2, 2, 2, 1, 2, 2, 5, 1, 2, 2, 4]",6139.801111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[(Timestamp('2023-01-29 19:27:39+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]",[1468.538611111111],[61],1468.538611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2023-01-06 06:01:32+0000', tz='UTC')), (Timestamp('2023-01-06 06:01:32+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]","[8886.025277777779, 2033.973888888889]","[370, 84]",10919.99917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[(Timestamp('2022-01-01 00:00:01+0000', tz='UTC'), Timestamp('2022-02-12 23:59:58+0000', tz='UTC')), (Timestamp('2022-02-20 18:02:50+0000', tz='UTC'), Timestamp('2023-03-31 23:59:58+0000', tz='UTC'))]","[1031.9991666666667, 9701.952222222222]","[42, 404]",10733.95139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[(Timestamp('2022-07-23 23:59:58+0000', tz='UTC'), Timestamp('2022-08-01 23:59:58+0000', tz='UTC')), (Timestamp('2022-09-03 11:38:17+0000', tz='UTC'), Timestamp('2022-09-12 23:59:58+0000', tz='UTC')), (Timestamp('2022-09-25 10:13:17+0000', tz='UTC'), Timestamp('2022-09-27 23:59:58+0000', tz='UTC'))]","[216.0, 228.36138888888888, 61.778055555555554]","[9, 9, 2]",506.1394444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
